creditCode,currentCreditCode,listingId,priceForSale,priceForSaleRate,testDate,nextRepayDate,pastDueDay,pastDueNumber,valuation,rateMaxMultiples,rateMinMultiples,currentDueDay,currentRate,isPay,leftRepayDay,allowanceRadio,number,owingInterest,owingNumber,owingPrincipal,preDebtdealId,preDebtDealId,vouch,maxRate,minRate,defaultPriceforsale
B,C,125553141.0,33.89,20.0,11/19/2018,11/20/2018 5:35,0.0,0.0,0.943,2.0,1.0,-1.0,20.0,0.0,1.0,0.0,6.0,1.41,4.0,33.89,0.0,0.0,0.0,40.0,20.0,
B,C,125553368.0,33.89,20.0,11/19/2018,11/20/2018 5:54,0.0,0.0,0.9994,2.0,1.0,-1.0,20.0,0.0,1.0,0.0,6.0,1.41,4.0,33.89,0.0,0.0,0.0,40.0,20.0,
B,C,125558303.0,33.89,20.0,11/19/2018,11/20/2018 8:05,0.0,0.0,1.0071,2.0,1.0,-1.0,20.0,0.0,1.0,0.0,6.0,1.41,4.0,33.89,0.0,0.0,0.0,40.0,20.0,
B,C,128923480.0,42.0,20.0,11/19/2018,11/20/2018 8:46,0.0,0.0,1.0227,2.0,1.0,-1.0,20.0,0.0,1.0,0.0,6.0,2.12,5.0,42.0,0.0,0.0,0.0,40.0,20.0,
B,C,125565084.0,33.89,20.0,11/19/2018,11/20/2018 9:32,0.0,0.0,1.0182,2.0,1.0,-1.0,20.0,0.0,1.0,0.0,6.0,1.41,4.0,33.89,0.0,0.0,0.0,40.0,20.0,
B,C,125568671.0,33.89,20.0,11/19/2018,11/20/2018 9:49,5.0,1.0,0.9811,2.0,1.0,-1.0,20.0,0.0,1.0,0.0,6.0,1.41,4.0,33.89,0.0,0.0,0.0,40.0,20.0,
B,D,128934631.0,42.01,20.0,11/19/2018,11/20/2018 10:02,1.0,1.0,0.988,2.0,1.0,-1.0,20.0,0.0,1.0,0.0,6.0,2.11,5.0,42.01,0.0,0.0,0.0,40.0,20.0,
B,C,128934975.0,42.0,20.0,11/19/2018,11/20/2018 10:06,0.0,0.0,1.0028,2.0,1.0,-1.0,20.0,0.0,1.0,0.0,6.0,2.12,5.0,42.0,0.0,0.0,0.0,40.0,20.0,
B,B,128936176.0,33.61,20.0,11/19/2018,11/20/2018 10:11,0.0,0.0,0.9085,2.0,1.0,-1.0,20.0,0.0,1.0,0.0,3.0,0.84,2.0,33.61,0.0,0.0,0.0,40.0,20.0,
B,C,125574088.0,33.89,20.0,11/19/2018,11/20/2018 10:26,0.0,0.0,0.9823,2.0,1.0,-1.0,20.0,0.0,1.0,0.0,6.0,1.41,4.0,33.89,0.0,0.0,0.0,40.0,20.0,
B,C,125575582.0,33.89,20.0,11/19/2018,11/20/2018 10:37,0.0,0.0,0.9983,2.0,1.0,-1.0,20.0,0.0,1.0,0.0,6.0,1.41,4.0,33.89,0.0,0.0,0.0,40.0,20.0,
B,B,128941188.0,33.61,20.0,11/19/2018,11/20/2018 10:44,0.0,0.0,1.012,2.0,1.0,-1.0,20.0,0.0,1.0,0.0,3.0,0.84,2.0,33.61,0.0,0.0,0.0,40.0,20.0,
B,C,125579399.0,33.89,20.0,11/19/2018,11/20/2018 11:06,0.0,0.0,1.0173,2.0,1.0,-1.0,20.0,0.0,1.0,0.0,6.0,1.41,4.0,33.89,0.0,0.0,0.0,40.0,20.0,
